prot_id,trial_id,noise_id,trajectory_id,t_contr,mark_type
9,1,237,237,MOT,noMark
9,2,209,209,MOT,noMark
9,3,211,211,MOT,noMark
9,4,182,182,MOT,noMark
9,5,187,187,MOT,noMark
9,6,197,197,MOT,noMark
9,7,214,214,MOT,noMark
9,8,210,210,MOT,noMark
9,9,217,217,MOT,noMark
9,10,194,194,MOT,noMark
9,11,206,206,MOT,noMark
9,12,239,239,MOT,noMark
9,13,188,188,MOT,noMark
9,14,193,193,MOT,noMark
9,15,226,226,MOT,noMark
9,16,201,201,MOT,noMark
9,17,224,224,MOT,noMark
9,18,200,200,MOT,noMark
9,19,186,186,MOT,noMark
9,20,236,236,MOT,noMark
9,21,240,240,MOT,noMark
9,22,229,229,MOT,noMark
9,23,218,218,MOT,noMark
9,24,216,216,MOT,noMark
9,25,227,227,MOT,noMark
9,26,198,198,MOT,noMark
9,27,191,191,MOT,noMark
9,28,195,195,MOT,noMark
9,29,238,238,MOT,noMark
9,30,204,204,MOT,noMark
9,31,183,183,MOT,mark
9,32,199,199,MOT,mark
9,33,215,215,MOT,mark
9,34,205,205,MOT,mark
9,35,230,230,MOT,mark
9,36,223,223,MOT,mark
9,37,235,235,MOT,mark
9,38,212,212,MOT,mark
9,39,219,219,MOT,mark
9,40,222,222,MOT,mark
9,41,231,231,MOT,mark
9,42,228,228,MOT,mark
9,43,189,189,MOT,mark
9,44,196,196,MOT,mark
9,45,207,207,MOT,mark
9,46,181,181,MOT,mark
9,47,220,220,MOT,mark
9,48,208,208,MOT,mark
9,49,202,202,MOT,mark
9,50,213,213,MOT,mark
9,51,233,233,MOT,mark
9,52,221,221,MOT,mark
9,53,225,225,MOT,mark
9,54,185,185,MOT,mark
9,55,232,232,MOT,mark
9,56,203,203,MOT,mark
9,57,190,190,MOT,mark
9,58,192,192,MOT,mark
9,59,234,234,MOT,mark
9,60,184,184,MOT,mark
