prot_id,trial_id,noise_id,trajectory_id,t_contr,mark_type
10,1,55,55,2,mark
10,2,40,40,2,mark
10,3,19,19,2,mark
10,4,18,18,2,mark
10,5,45,45,2,mark
10,6,17,17,2,mark
10,7,34,34,2,mark
10,8,44,44,2,mark
10,9,3,3,2,mark
10,10,48,48,2,mark
10,11,57,57,2,mark
10,12,54,54,2,mark
10,13,22,22,2,mark
10,14,53,53,2,mark
10,15,4,4,2,mark
10,16,10,10,2,mark
10,17,30,30,2,mark
10,18,8,8,2,mark
10,19,50,50,2,mark
10,20,29,29,2,mark
10,21,42,42,2,mark
10,22,35,35,2,mark
10,23,60,60,2,mark
10,24,7,7,2,mark
10,25,31,31,2,mark
10,26,38,38,2,mark
10,27,2,2,2,mark
10,28,59,59,2,mark
10,29,13,13,2,mark
10,30,6,6,2,mark
10,31,28,28,2,noMark
10,32,27,27,2,noMark
10,33,36,36,2,noMark
10,34,23,23,2,noMark
10,35,32,32,2,noMark
10,36,41,41,2,noMark
10,37,25,25,2,noMark
10,38,39,39,2,noMark
10,39,24,24,2,noMark
10,40,37,37,2,noMark
10,41,51,51,2,noMark
10,42,43,43,2,noMark
10,43,49,49,2,noMark
10,44,9,9,2,noMark
10,45,12,12,2,noMark
10,46,16,16,2,noMark
10,47,1,1,2,noMark
10,48,11,11,2,noMark
10,49,56,56,2,noMark
10,50,26,26,2,noMark
10,51,33,33,2,noMark
10,52,52,52,2,noMark
10,53,47,47,2,noMark
10,54,21,21,2,noMark
10,55,20,20,2,noMark
10,56,58,58,2,noMark
10,57,5,5,2,noMark
10,58,15,15,2,noMark
10,59,14,14,2,noMark
10,60,46,46,2,noMark
10,61,117,117,1,noMark
10,62,67,67,1,noMark
10,63,78,78,1,noMark
10,64,89,89,1,noMark
10,65,66,66,1,noMark
10,66,72,72,1,noMark
10,67,83,83,1,noMark
10,68,101,101,1,noMark
10,69,82,82,1,noMark
10,70,87,87,1,noMark
10,71,80,80,1,noMark
10,72,65,65,1,noMark
10,73,70,70,1,noMark
10,74,119,119,1,noMark
10,75,120,120,1,noMark
10,76,110,110,1,noMark
10,77,107,107,1,noMark
10,78,90,90,1,noMark
10,79,105,105,1,noMark
10,80,114,114,1,noMark
10,81,115,115,1,noMark
10,82,63,63,1,noMark
10,83,97,97,1,noMark
10,84,112,112,1,noMark
10,85,86,86,1,noMark
10,86,118,118,1,noMark
10,87,73,73,1,noMark
10,88,113,113,1,noMark
10,89,104,104,1,noMark
10,90,68,68,1,noMark
10,91,79,79,1,mark
10,92,74,74,1,mark
10,93,94,94,1,mark
10,94,99,99,1,mark
10,95,77,77,1,mark
10,96,102,102,1,mark
10,97,88,88,1,mark
10,98,106,106,1,mark
10,99,100,100,1,mark
10,100,81,81,1,mark
10,101,109,109,1,mark
10,102,93,93,1,mark
10,103,116,116,1,mark
10,104,98,98,1,mark
10,105,75,75,1,mark
10,106,71,71,1,mark
10,107,76,76,1,mark
10,108,85,85,1,mark
10,109,84,84,1,mark
10,110,64,64,1,mark
10,111,92,92,1,mark
10,112,62,62,1,mark
10,113,111,111,1,mark
10,114,108,108,1,mark
10,115,103,103,1,mark
10,116,96,96,1,mark
10,117,95,95,1,mark
10,118,61,61,1,mark
10,119,69,69,1,mark
10,120,91,91,1,mark
10,121,154,154,3,noMark
10,122,134,134,3,noMark
10,123,151,151,3,noMark
10,124,178,178,3,noMark
10,125,131,131,3,noMark
10,126,180,180,3,noMark
10,127,153,153,3,noMark
10,128,161,161,3,noMark
10,129,140,140,3,noMark
10,130,135,135,3,noMark
10,131,124,124,3,noMark
10,132,145,145,3,noMark
10,133,139,139,3,noMark
10,134,138,138,3,noMark
10,135,156,156,3,noMark
10,136,137,137,3,noMark
10,137,166,166,3,noMark
10,138,146,146,3,noMark
10,139,174,174,3,noMark
10,140,150,150,3,noMark
10,141,167,167,3,noMark
10,142,123,123,3,noMark
10,143,170,170,3,noMark
10,144,158,158,3,noMark
10,145,162,162,3,noMark
10,146,169,169,3,noMark
10,147,163,163,3,noMark
10,148,152,152,3,noMark
10,149,132,132,3,noMark
10,150,143,143,3,noMark
10,151,142,142,3,mark
10,152,155,155,3,mark
10,153,122,122,3,mark
10,154,179,179,3,mark
10,155,149,149,3,mark
10,156,128,128,3,mark
10,157,136,136,3,mark
10,158,177,177,3,mark
10,159,148,148,3,mark
10,160,176,176,3,mark
10,161,147,147,3,mark
10,162,121,121,3,mark
10,163,130,130,3,mark
10,164,172,172,3,mark
10,165,127,127,3,mark
10,166,144,144,3,mark
10,167,141,141,3,mark
10,168,159,159,3,mark
10,169,175,175,3,mark
10,170,165,165,3,mark
10,171,133,133,3,mark
10,172,157,157,3,mark
10,173,171,171,3,mark
10,174,173,173,3,mark
10,175,168,168,3,mark
10,176,164,164,3,mark
10,177,125,125,3,mark
10,178,126,126,3,mark
10,179,160,160,3,mark
10,180,129,129,3,mark
