prot_id,trial_id,no_targets,noise_present,trajectory_id
16,1,1,noise,150
16,2,4,noise,115
16,3,4,noise,66
16,4,2,noise,55
16,5,1,noise,133
16,6,1,no_noise,145
16,7,4,noise,59
16,8,4,noise,137
16,9,2,noise,129
16,10,2,no_noise,3
16,11,1,noise,139
16,12,1,no_noise,11
16,13,2,no_noise,158
16,14,1,no_noise,101
16,15,2,noise,29
16,16,4,noise,143
16,17,2,no_noise,165
16,18,1,noise,146
16,19,2,no_noise,127
16,20,1,noise,114
16,21,2,noise,54
16,22,4,no_noise,34
16,23,1,no_noise,166
16,24,1,no_noise,177
16,25,2,no_noise,95
16,26,1,noise,73
16,27,2,noise,118
16,28,2,no_noise,108
16,29,2,no_noise,83
16,30,4,no_noise,19
16,31,1,no_noise,69
16,32,4,no_noise,120
16,33,1,noise,87
16,34,2,noise,132
16,35,2,no_noise,41
16,36,4,noise,89
16,37,2,no_noise,124
16,38,1,noise,5
16,39,2,no_noise,147
16,40,4,noise,134
16,41,1,no_noise,128
16,42,2,no_noise,103
16,43,4,no_noise,61
16,44,4,noise,125
16,45,1,no_noise,152
16,46,4,noise,36
16,47,2,noise,49
16,48,4,no_noise,33
16,49,4,no_noise,17
16,50,1,no_noise,63
16,51,2,noise,2
16,52,4,noise,91
16,53,4,no_noise,72
16,54,2,noise,65
16,55,2,noise,138
16,56,4,no_noise,74
16,57,2,noise,4
16,58,1,noise,60
16,59,2,no_noise,30
16,60,1,no_noise,39
16,61,4,noise,88
16,62,2,noise,176
16,63,4,noise,24
16,64,2,no_noise,107
16,65,1,no_noise,94
16,66,1,noise,45
16,67,1,no_noise,105
16,68,1,no_noise,131
16,69,1,no_noise,56
16,70,2,no_noise,180
16,71,2,noise,57
16,72,4,no_noise,70
16,73,2,noise,123
16,74,2,noise,7
16,75,4,no_noise,149
16,76,4,no_noise,13
16,77,1,noise,99
16,78,4,noise,161
16,79,4,noise,9
16,80,2,no_noise,51
16,81,4,noise,171
16,82,4,noise,77
16,83,2,noise,31
16,84,4,noise,86
16,85,4,no_noise,110
16,86,4,no_noise,20
16,87,1,no_noise,1
16,88,2,noise,85
16,89,4,noise,32
16,90,2,noise,47
16,91,2,no_noise,140
16,92,4,noise,154
16,93,1,no_noise,121
16,94,4,no_noise,141
16,95,4,no_noise,62
16,96,1,noise,53
16,97,1,noise,79
16,98,4,no_noise,48
16,99,4,noise,178
16,100,1,no_noise,18
16,101,4,no_noise,28
16,102,4,no_noise,113
16,103,2,noise,153
16,104,4,no_noise,122
16,105,1,no_noise,135
16,106,2,noise,97
16,107,4,noise,46
16,108,1,noise,130
16,109,2,no_noise,68
16,110,2,noise,52
16,111,1,noise,92
16,112,2,noise,98
16,113,1,noise,160
16,114,4,no_noise,102
16,115,1,no_noise,119
16,116,4,no_noise,40
16,117,4,no_noise,43
16,118,1,noise,175
16,119,4,no_noise,42
16,120,1,noise,90
16,121,2,no_noise,50
16,122,2,no_noise,164
16,123,1,no_noise,142
16,124,4,no_noise,35
16,125,1,no_noise,84
16,126,1,noise,80
16,127,4,noise,82
16,128,2,noise,12
16,129,1,noise,16
16,130,1,no_noise,76
16,131,1,noise,159
16,132,1,noise,81
16,133,1,no_noise,71
16,134,4,no_noise,93
16,135,4,no_noise,117
16,136,2,noise,15
16,137,1,no_noise,169
16,138,2,no_noise,100
16,139,1,noise,44
16,140,1,no_noise,157
16,141,2,noise,174
16,142,4,no_noise,109
16,143,1,noise,58
16,144,2,noise,167
16,145,2,no_noise,10
16,146,2,no_noise,22
16,147,1,no_noise,14
16,148,1,noise,144
16,149,1,noise,21
16,150,1,no_noise,172
16,151,1,noise,179
16,152,1,no_noise,148
16,153,4,noise,162
16,154,1,noise,106
16,155,4,no_noise,116
16,156,1,noise,75
16,157,4,noise,23
16,158,2,no_noise,136
16,159,4,noise,96
16,160,2,no_noise,173
16,161,2,no_noise,156
16,162,4,noise,126
16,163,2,noise,112
16,164,4,noise,37
16,165,2,noise,6
16,166,4,no_noise,27
16,167,4,noise,170
16,168,2,no_noise,155
16,169,4,no_noise,78
16,170,1,noise,67
16,171,1,no_noise,151
16,172,2,noise,26
16,173,2,noise,111
16,174,4,noise,168
16,175,2,no_noise,25
16,176,1,no_noise,64
16,177,2,no_noise,163
16,178,4,noise,104
16,179,2,no_noise,38
16,180,2,no_noise,8
