prot_id,prot_subset,trial_id,noise_present,no_targets,trajectory_id
6,7,601,no_noise,4,545
6,7,602,no_noise,4,426
6,7,603,noise,1,949
6,7,604,no_noise,1,393
6,7,605,noise,4,635
6,7,606,noise,1,505
6,7,607,noise,1,779
6,7,608,no_noise,4,365
6,7,609,no_noise,1,415
6,7,610,no_noise,1,244
6,7,611,no_noise,1,514
6,7,612,no_noise,4,48
6,7,613,no_noise,4,432
6,7,614,no_noise,4,23
6,7,615,no_noise,4,702
6,7,616,noise,1,629
6,7,617,noise,4,515
6,7,618,no_noise,1,282
6,7,619,no_noise,1,472
6,7,620,noise,4,381
6,7,621,noise,4,276
6,7,622,no_noise,4,452
6,7,623,no_noise,1,5
6,7,624,noise,4,503
6,7,625,no_noise,4,773
6,7,626,noise,4,532
6,7,627,no_noise,4,411
6,7,628,noise,4,424
6,7,629,noise,1,170
6,7,630,noise,1,655
6,7,631,no_noise,1,385
6,7,632,no_noise,1,377
6,7,633,noise,4,97
6,7,634,no_noise,1,521
6,7,635,no_noise,1,64
6,7,636,noise,1,437
6,7,637,noise,1,201
6,7,638,noise,1,543
6,7,639,no_noise,1,734
6,7,640,noise,4,760
6,7,641,noise,4,932
6,7,642,noise,1,414
6,7,643,no_noise,1,610
6,7,644,no_noise,4,390
6,7,645,no_noise,4,756
6,7,646,no_noise,4,369
6,7,647,noise,4,656
6,7,648,noise,1,441
6,7,649,noise,4,500
6,7,650,no_noise,4,168
6,7,651,noise,1,241
6,7,652,no_noise,4,762
6,7,653,no_noise,4,911
6,7,654,noise,4,130
6,7,655,noise,1,294
6,7,656,no_noise,1,842
6,7,657,noise,4,423
6,7,658,noise,4,989
6,7,659,no_noise,4,482
6,7,660,noise,4,139
6,7,661,no_noise,4,581
6,7,662,no_noise,4,936
6,7,663,noise,1,791
6,7,664,no_noise,4,331
6,7,665,noise,4,662
6,7,666,noise,4,744
6,7,667,noise,1,473
6,7,668,noise,1,583
6,7,669,noise,1,853
6,7,670,noise,1,944
6,7,671,no_noise,1,16
6,7,672,noise,4,211
6,7,673,noise,4,417
6,7,674,noise,1,387
6,7,675,no_noise,1,266
6,7,676,noise,4,260
6,7,677,no_noise,4,863
6,7,678,noise,4,407
6,7,679,no_noise,4,774
6,7,680,no_noise,4,240
6,7,681,noise,1,419
6,7,682,noise,4,696
6,7,683,noise,1,737
6,7,684,no_noise,1,539
6,7,685,noise,1,700
6,7,686,no_noise,1,412
6,7,687,no_noise,4,661
6,7,688,no_noise,4,361
6,7,689,no_noise,1,748
6,7,690,no_noise,1,982
6,7,691,no_noise,1,642
6,7,692,noise,4,52
6,7,693,no_noise,1,612
6,7,694,no_noise,1,220
6,7,695,no_noise,1,218
6,7,696,noise,4,553
6,7,697,noise,1,346
6,7,698,no_noise,4,507
6,7,699,noise,1,458
6,7,700,no_noise,1,206
