prot_id,prot_subset,trial_id,no_targets,noise_present,trajectory_id
7,1,1,1,no_noise,773
7,1,2,1,no_noise,994
7,1,3,1,noise,251
7,1,4,4,noise,728
7,1,5,1,no_noise,856
7,1,6,4,no_noise,345
7,1,7,1,no_noise,151
7,1,8,4,noise,577
7,1,9,4,no_noise,282
7,1,10,1,noise,461
7,1,11,4,noise,142
7,1,12,4,no_noise,464
7,1,13,4,noise,861
7,1,14,4,no_noise,92
7,1,15,4,noise,229
7,1,16,1,no_noise,684
7,1,17,4,noise,692
7,1,18,4,noise,481
7,1,19,4,noise,985
7,1,20,4,no_noise,652
7,1,21,4,no_noise,322
7,1,22,1,noise,803
7,1,23,4,no_noise,995
7,1,24,4,no_noise,933
7,1,25,1,noise,104
7,1,26,1,noise,938
7,1,27,4,noise,234
7,1,28,1,no_noise,221
7,1,29,1,no_noise,685
7,1,30,1,noise,227
7,1,31,4,no_noise,573
7,1,32,4,no_noise,136
7,1,33,1,no_noise,527
7,1,34,4,no_noise,444
7,1,35,1,no_noise,733
7,1,36,4,no_noise,880
7,1,37,4,noise,32
7,1,38,1,no_noise,447
7,1,39,1,noise,484
7,1,40,4,no_noise,715
7,1,41,1,noise,488
7,1,42,1,no_noise,935
7,1,43,4,noise,670
7,1,44,4,no_noise,924
7,1,45,4,noise,374
7,1,46,1,noise,152
7,1,47,4,no_noise,130
7,1,48,4,noise,724
7,1,49,1,no_noise,948
7,1,50,1,noise,457
7,1,51,1,no_noise,494
7,1,52,1,no_noise,279
7,1,53,4,no_noise,585
7,1,54,4,noise,223
7,1,55,4,no_noise,825
7,1,56,4,noise,579
7,1,57,4,no_noise,807
7,1,58,4,no_noise,306
7,1,59,4,no_noise,654
7,1,60,1,noise,908
7,1,61,1,noise,125
7,1,62,4,noise,423
7,1,63,4,noise,26
7,1,64,4,no_noise,766
7,1,65,4,noise,502
7,1,66,1,no_noise,566
7,1,67,1,no_noise,95
7,1,68,4,no_noise,147
7,1,69,4,noise,348
7,1,70,4,noise,128
7,1,71,4,noise,863
7,1,72,4,noise,333
7,1,73,4,noise,560
7,1,74,4,noise,565
7,1,75,4,noise,213
7,1,76,1,noise,268
7,1,77,1,no_noise,73
7,1,78,1,noise,417
7,1,79,1,no_noise,921
7,1,80,1,no_noise,771
7,1,81,4,noise,145
7,1,82,1,noise,992
7,1,83,1,noise,563
7,1,84,1,noise,53
7,1,85,4,no_noise,790
7,1,86,4,no_noise,216
7,1,87,4,no_noise,387
7,1,88,1,no_noise,343
7,1,89,4,no_noise,428
7,1,90,1,no_noise,403
7,1,91,4,noise,132
7,1,92,1,no_noise,183
7,1,93,4,noise,185
7,1,94,1,no_noise,976
7,1,95,1,no_noise,262
7,1,96,1,no_noise,257
7,1,97,4,noise,485
7,1,98,4,no_noise,582
7,1,99,1,noise,404
7,1,100,4,noise,346
