prot_id,trial_id,trajectory_id,first_speed,final_speed,noise_present,direction,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,P.objects[0].started,P.objects[0].tLastFrame,P.objects[0].penultimatex0,P.objects[0].penultimatey0,P.objects[0].antepenultimatex0,P.objects[0].antepenultimatey0,P.objects[0].preantepenultimatex0,P.objects[0].preantepenultimatey0,P.objects[0].finalx0,P.objects[0].finaly0,win.nDroppedFrames,finalStimFrameTimes,worstLastFramesDur,timingHiccupsInLastFramesOfStimuli,mouse.x.firstBadClick,mouse.y.firstBadClick,mouse.x,mouse.y,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,cue.started,cue.stopped,motbox_path,participant,protocol,expName,date,psychopyVersion,
104,313,350,500,1000,no_noise,2.7549789877959245,0,0,0,0,3.3194168000482023,2.2026571000460535,820.636360329488,441.2053288397559,835.5026553094925,435.1532320190579,850.9744013964228,428.8546549069193,805.1560006527271,447.50741256061565,0,"[16.8096     16.5802     16.69389999 16.5573     17.15550001 16.70939999
 16.04100002 16.82219998 17.10300002 16.45       16.59700001 16.88720001
 16.63319999 16.48950001 16.66540001 17.15159998 16.54380001 16.59780002
 17.01109996 15.71950002 16.2982     16.68950001 17.53519999 15.6783
 17.37119997 16.42120001 17.04589999 16.60149998 16.58800006 16.73209999
 16.54089999 16.73979999 16.62369998 16.73600002 16.56740002 16.4661
 16.26369997 16.70810004 17.40109996]",17.535199993290007,0,nan,nan,689.0,354.0,3.308674800035078,[],2.2028122000629082,None,36.434369800030254,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,314,393,1000,500,noise,0.4027025915964933,0,1,1,1,3.822188450023532,2.68920705007622,171.62531423739338,-414.38695966705563,163.9921691607092,-417.6385463606982,156.40635833676322,-420.86996948810287,179.4111341870156,-411.0703361399307,0,"[17.40109996 16.6182     17.27860002 16.4042     16.75349998 16.93100005
 16.44209999 15.96439997 17.1085     17.06889999 16.59680001 15.8384
 17.93490001 15.88700002 16.57949999 16.1758     17.64640003 15.82529995
 17.19420002 16.25610003 17.2685     16.64689998 16.558      16.8476
 16.41039999 16.47229999 16.73760003 17.07890001 16.23249997 16.10499999
 17.08950003 16.31639997 17.27950003 15.95839998 17.46450004 16.66629995
 16.51390002 16.61200001 16.93019998 16.58570004]",17.93490001000464,0,nan,nan,253.0,-300.0,3.809083750064019,[],2.6893622500356287,None,40.01658639998641,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,315,366,1000,500,noise,2.095274747232029,0,2,2,2,3.855491050053388,2.7230464500025846,771.3193759326057,-455.34079464479777,775.6600776426579,-462.8438606742984,779.7333977001263,-469.88474746909895,767.286116802224,-448.36915466795733,0,"[16.58570004 16.23979997 16.76240005 17.21189998 16.6571     16.55459998
 16.6882     16.21040003 17.53949997 16.23110002 17.68639998 15.70530003
 16.41009998 16.78800001 19.00119998 15.15500003 15.34779998 16.74310002
 16.84349997 17.14770001 16.7032     16.56150003 16.65599999 16.61339996
 16.764      16.71540004 16.60639996 16.81990002 16.5273     16.32749999
 16.55370003 17.04979996 16.92070003 16.40829997 16.72230003 16.7181
 16.28099999 17.33659999 16.1064     17.49559998]",19.001199980266392,0,nan,nan,649.0,-463.0,3.8444448500522412,[],2.723233050026465,None,44.09919209999498,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,316,330,500,500,no_noise,2.0212086180575977,0,3,3,3,3.982725450070575,3.199494550121017,-667.6023709168564,98.61596807326012,-663.9630428052454,91.0899102054867,-660.3277850978413,83.57226985233854,-671.2231319143431,106.10362951975705,0,"[17.49559998 16.69940003 17.13279996 16.60910004 16.65790001 17.14189997
 16.4509     16.6263     16.3969     16.92790003 16.45929995 16.64400002
 16.92150004 16.51519997 17.2995     16.18019998 17.03820005 15.99779999
 17.24199997 16.29619999 16.70890005 16.63619996 16.76490001 16.62569999
 16.79830003 16.6499     16.88519999 16.02600003 16.93609997 16.6796
 16.5659     16.28049999 16.41799998 16.66130003 17.21389999 16.7183
 16.71479997 16.4429     16.84130001 16.78500004]",17.495599982794374,0,nan,nan,-663.0,124.0,3.972048750089016,[],3.1828980501159094,None,48.21574379998492,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,317,378,500,1000,noise,1.625062462488696,0,4,4,4,3.585562950000167,2.3854979500174522,61.470684575126995,261.60303275525985,62.4135082062064,244.24602073696462,63.27571023780484,228.37322063805394,60.560643301482635,278.3565344740341,0,"[16.84130001 16.78500004 16.99739997 16.52459998 16.6948     16.39020001
 16.69930003 16.71469997 16.52890001 16.71619999 16.5725     17.17460004
 15.55189997 16.62359998 17.31080003 16.65090001 16.65439998 16.67869999
 16.45270002 16.69830002 16.82209998 16.7025     16.47630002 16.82679995
 16.85810002 16.60959999 16.5344     16.04080002 16.73470001 17.20629999
 17.00430003 16.76089998 16.49840001 16.58569998 16.54560002 17.11199997
 15.87910001 17.40219997 16.30680001 16.65310003]",17.402199970092624,0,nan,nan,135.0,370.0,3.5770872500143014,[],2.385691349976696,None,52.46482529997593,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,318,356,1000,500,no_noise,3.0894420159349787,0,5,5,5,4.495138550119009,3.379346250090748,682.225279073698,106.5102376329379,690.6309856581206,106.0714768381791,699.2738193951952,105.6203384881355,673.9340666183213,106.94302206692907,0,"[16.65310003 16.48190001 16.57599997 16.26100001 16.65399998 17.18360005
 16.88279997 16.47209999 16.6265     16.8862     16.67909999 16.61680004
 16.50889998 16.63789997 17.04090001 16.30880003 17.24089996 15.76520002
 16.46900002 16.73579996 17.28040003 16.74469997 16.56910003 16.54869999
 16.56099997 17.18550001 16.51300001 16.65489998 16.53670002 16.37209998
 17.00470003 16.43239998 17.83860003 15.20979998 16.79720002 16.51599997
 17.31040003 16.85159997 16.6031     16.7177    ]",17.83860003342852,0,nan,nan,503.0,37.0,4.485029250092339,[],3.3795235501020215,None,56.314048399974126,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,319,408,1000,1000,no_noise,3.137021970859654,0,6,6,6,3.273780550051015,2.323903450043872,326.2841230398929,-24.625164771188587,343.4198440255776,-24.70348726058248,360.54886508843805,-24.781779126541576,310.4089888811115,-24.55260406435772,0,"[16.7177     16.39820001 16.86189999 16.91150002 16.67440002 16.21179999
 16.83589997 16.74019999 16.33200003 16.53149998 16.53200004 16.71970001
 16.72289998 16.8563     17.2615     16.53149998 16.42450003 16.89959998
 16.50019997 16.57760004 16.52519999 16.40379999 16.68420003 16.79339999
 16.70869999 16.19190001 16.72179997 16.66650001 17.06570003 16.65399998
 16.93370001 16.30159997 16.39040001 17.19360001 16.64470002 16.5727
 17.24729995 17.11210003 15.88359999 16.27209998]",17.261500004678965,0,nan,nan,108.0,-3.0,3.2649381500668824,[],2.3240877500502393,None,61.0801071000169,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,320,399,1000,500,no_noise,6.046680606346632,0,7,7,7,3.0022278500837274,1.968795650114771,-545.6393024144759,-509.5381038999592,-553.6898318325226,-507.5978036672855,-561.7283064522223,-505.660408824658,-537.643262716443,-511.46527128000525,0,"[16.27209998 17.8728     16.34979999 16.64410002 16.73700003 16.70829998
 17.02279999 16.09609998 16.5118     16.21990005 16.67779998 17.18109997
 16.68350003 16.81       16.09029999 16.98949997 16.21310005 16.71229996
 16.66140003 17.17269997 16.14620001 17.14970003 16.91579999 16.53029997
 15.98250004 16.70019998 16.73659997 16.62910002 16.70740003 16.63219999
 16.63879998 16.67560003 16.63979999 17.5049     16.23299997 17.2995
 16.54820004 16.55449998 16.33120002 16.2063    ]",17.87280000280589,0,nan,nan,-315.0,-422.0,2.990597550116945,[],1.9689418501220644,None,64.63021929998649,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,321,385,1000,1000,no_noise,1.1418769426837638,0,8,8,8,4.331622800033074,3.431389500037767,-560.0394707735785,159.1375764344423,-566.9079495074147,144.11839430648877,-573.8797348868106,128.87331334637568,-553.0677685724794,174.3824755100312,0,"[16.2063     16.70929999 16.68200002 16.58280002 16.6955     16.63069997
 16.84140001 16.48539997 16.88440004 16.40309999 16.72139997 16.74680004
 16.79219998 16.53149998 16.56890003 16.73959999 16.61270001 16.69929997
 16.65080001 16.6344     16.6794     16.83470001 16.48390002 16.66779997
 16.70380001 16.64709998 16.68860001 16.6793     16.65810001 16.63030003
 16.72129997 16.65150002 16.56910003 16.75499999 16.63109998 16.66090003
 16.73679997 16.5352     16.75810001 16.66259998]",16.88440004363656,0,nan,nan,-452.0,322.0,4.321027300029527,[],3.431579900032375,None,67.91321849997621,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,322,339,500,500,noise,2.508872040865164,0,9,9,9,3.9105697000632063,2.877971400041133,545.5685538454856,-387.4076917004026,552.7310702846064,-392.6598929119053,559.3711867681602,-397.5290234941341,539.3666469096593,-382.85989576878563,0,"[16.66259998 14.74989997 16.90530003 16.58649999 17.56499999 16.38480002
 16.85130002 16.51069999 16.69279998 16.75190002 16.52509999 16.76680002
 16.86519996 16.68090001 16.35600004 16.74169995 16.84410003 16.6499
 16.56000002 16.61569998 16.72150003 16.62499999 16.62030001 16.71319996
 16.87699999 16.39180002 16.6871     16.7029     16.7872     16.45629999
 16.68490004 16.68389997 16.74980001 17.1387     16.11979998 17.1084
 16.22320001 18.01180001 15.27480001 17.45409996]",18.01180001348257,0,nan,nan,586.0,-454.0,3.9013938000425696,[],2.878196800069418,None,72.5117599000223,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,323,326,500,500,no_noise,4.1412417630677005,0,10,10,10,3.0202919001458213,1.6707635001512244,-399.65751133165315,-241.56512918158683,-395.18849961670355,-234.61042455349542,-390.70727039879307,-227.63670696911626,-404.1587426691298,-248.5699741924287,0,"[17.45409996 16.73550002 16.6803     16.57829998 16.80759998 16.73060004
 17.05999998 16.2065     16.92199998 16.37889998 16.90520003 16.62449999
 16.64610003 16.38649998 16.98670001 16.58649999 16.68440003 16.97999996
 16.60249999 16.45920001 16.64380002 16.27159998 16.94320003 16.64450002
 16.80529997 16.79910003 16.37539995 16.71450003 17.06300001 16.2823
 16.8862     16.04269998 16.7027     16.84600004 16.57029998 17.15299999
 16.37770003 16.74959995 16.6568     17.09210005]",17.454099957831204,0,nan,nan,-380.0,-309.0,3.008241700124927,[],1.6709514001267962,None,76.71129140001722,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
104,324,348,1000,500,no_noise,4.676667200954907,0,11,11,11,3.199635300086811,2.3663311000564136,-446.0587464446707,310.9234968448673,-445.7624347987446,319.21495388352076,-445.4585338883507,327.7187753741118,-446.3554580893718,302.6208469533368,0,"[17.09210005 16.9783     16.45479997 16.6036     16.6264     16.8411
 16.70660003 16.56709996 16.61809999 17.0474     16.60030003 15.81030001
 17.31969998 17.07559999 16.03609999 16.27980004 17.0309     16.86989999
 16.3511     17.00679999 16.89919998 16.44910005 16.68929996 16.01170003
 17.26950001 16.64859999 16.6949     16.75369998 16.85030002 16.05189999
 17.22630003 16.2597     16.5042     16.40519995 17.56270003 16.14409999
 17.02249999 16.59420005 16.61359996 16.92570001]",17.562700028065592,0,nan,nan,-325.0,164.0,3.1882903000805527,[],2.349594200029969,None,80.01164390001213,None,../,cjh,104,noiseMot_exp1_noise,2021_Aug_06_1027,2021.2.1,
