prot_id,trial_id,no_targets,noise_present,trajectory_id
6,1,2,no_noise,177
6,2,4,noise,58
6,3,1,noise,143
6,4,2,noise,13
6,5,2,noise,117
6,6,2,noise,31
6,7,2,no_noise,43
6,8,1,noise,119
6,9,2,noise,127
6,10,4,noise,5
6,11,1,noise,24
6,12,1,noise,86
6,13,2,no_noise,98
6,14,4,no_noise,164
6,15,4,no_noise,166
6,16,2,no_noise,69
6,17,1,noise,91
6,18,1,no_noise,61
6,19,2,noise,19
6,20,2,no_noise,12
6,21,4,noise,33
6,22,1,noise,175
6,23,4,noise,36
6,24,4,no_noise,178
6,25,1,no_noise,28
6,26,1,no_noise,136
6,27,4,noise,169
6,28,2,noise,46
6,29,4,no_noise,123
6,30,1,noise,72
6,31,2,noise,42
6,32,2,no_noise,70
6,33,1,noise,174
6,34,1,no_noise,80
6,35,4,noise,103
6,36,2,no_noise,20
6,37,1,no_noise,7
6,38,1,no_noise,108
6,39,4,noise,11
6,40,2,no_noise,49
6,41,2,noise,2
6,42,2,noise,104
6,43,2,noise,29
6,44,2,no_noise,85
6,45,4,no_noise,30
6,46,4,no_noise,134
6,47,1,no_noise,55
6,48,1,noise,27
6,49,1,no_noise,41
6,50,1,no_noise,60
6,51,4,noise,32
6,52,2,noise,131
6,53,1,no_noise,84
6,54,2,noise,154
6,55,2,no_noise,4
6,56,1,noise,146
6,57,1,no_noise,51
6,58,4,no_noise,94
6,59,2,no_noise,40
6,60,4,no_noise,38
6,61,1,noise,34
6,62,4,no_noise,18
6,63,2,noise,172
6,64,1,no_noise,125
6,65,2,noise,35
6,66,2,no_noise,155
6,67,2,no_noise,3
6,68,4,noise,109
6,69,4,noise,151
6,70,4,no_noise,73
6,71,1,no_noise,130
6,72,2,noise,95
6,73,1,noise,115
6,74,4,noise,25
6,75,4,no_noise,44
6,76,2,no_noise,162
6,77,4,noise,66
6,78,1,no_noise,106
6,79,2,no_noise,137
6,80,4,no_noise,173
6,81,1,noise,74
6,82,2,noise,124
6,83,1,no_noise,47
6,84,2,no_noise,168
6,85,4,no_noise,114
6,86,4,noise,149
6,87,4,no_noise,48
6,88,1,noise,135
6,89,4,no_noise,176
6,90,1,noise,159
6,91,1,no_noise,97
6,92,1,noise,52
6,93,4,noise,163
6,94,1,noise,145
6,95,2,no_noise,113
6,96,4,noise,99
6,97,1,noise,56
6,98,1,no_noise,92
6,99,4,no_noise,83
6,100,2,no_noise,179
6,101,2,noise,120
6,102,1,no_noise,118
6,103,1,noise,100
6,104,2,noise,144
6,105,4,noise,17
6,106,1,no_noise,122
6,107,4,noise,53
6,108,2,no_noise,37
6,109,1,no_noise,15
6,110,1,noise,45
6,111,4,noise,141
6,112,1,noise,21
6,113,4,noise,157
6,114,1,noise,158
6,115,1,noise,54
6,116,1,noise,161
6,117,1,noise,132
6,118,1,no_noise,133
6,119,2,no_noise,96
6,120,2,noise,105
6,121,4,noise,147
6,122,2,no_noise,170
6,123,1,no_noise,67
6,124,4,no_noise,63
6,125,2,no_noise,14
6,126,2,no_noise,75
6,127,2,noise,79
6,128,4,no_noise,165
6,129,1,noise,22
6,130,2,no_noise,129
6,131,1,no_noise,23
6,132,4,noise,59
6,133,4,noise,111
6,134,4,no_noise,116
6,135,2,noise,152
6,136,2,no_noise,81
6,137,1,noise,180
6,138,4,no_noise,126
6,139,2,noise,16
6,140,2,noise,50
6,141,1,noise,110
6,142,2,noise,64
6,143,4,noise,171
6,144,1,noise,65
6,145,1,no_noise,160
6,146,4,no_noise,88
6,147,4,no_noise,150
6,148,4,noise,10
6,149,2,noise,57
6,150,2,noise,8
6,151,2,noise,87
6,152,4,no_noise,101
6,153,4,no_noise,68
6,154,4,noise,6
6,155,2,no_noise,77
6,156,2,no_noise,140
6,157,4,noise,78
6,158,4,no_noise,76
6,159,1,no_noise,153
6,160,4,noise,82
6,161,4,no_noise,138
6,162,4,noise,89
6,163,2,noise,26
6,164,1,noise,71
6,165,2,noise,156
6,166,1,no_noise,139
6,167,2,no_noise,39
6,168,2,noise,167
6,169,4,noise,90
6,170,1,no_noise,121
6,171,4,no_noise,128
6,172,4,noise,62
6,173,1,no_noise,102
6,174,4,no_noise,1
6,175,1,no_noise,107
6,176,1,no_noise,93
6,177,2,no_noise,112
6,178,2,no_noise,148
6,179,4,no_noise,142
6,180,4,no_noise,9
