prot_id,trial_id,noise_present,no_targets,trajectory_id
13,1,no_noise,4,53
13,2,no_noise,4,145
13,3,no_noise,4,59
13,4,no_noise,1,24
13,5,no_noise,2,26
13,6,noise,4,129
13,7,no_noise,4,11
13,8,noise,1,87
13,9,noise,1,117
13,10,no_noise,1,3
13,11,noise,4,86
13,12,no_noise,4,38
13,13,no_noise,2,133
13,14,noise,4,148
13,15,no_noise,4,120
13,16,no_noise,2,146
13,17,no_noise,4,108
13,18,no_noise,1,158
13,19,noise,1,30
13,20,noise,4,57
13,21,no_noise,2,128
13,22,no_noise,2,151
13,23,no_noise,4,95
13,24,noise,2,50
13,25,noise,1,103
13,26,no_noise,1,42
13,27,noise,4,112
13,28,noise,1,61
13,29,no_noise,2,166
13,30,noise,2,169
13,31,noise,4,9
13,32,no_noise,4,161
13,33,noise,1,172
13,34,noise,4,71
13,35,noise,1,162
13,36,noise,1,136
13,37,no_noise,4,121
13,38,no_noise,4,66
13,39,noise,1,123
13,40,noise,4,160
13,41,noise,4,92
13,42,noise,2,89
13,43,noise,4,114
13,44,no_noise,1,107
13,45,noise,4,37
13,46,noise,2,74
13,47,noise,4,119
13,48,no_noise,1,116
13,49,no_noise,1,23
13,50,no_noise,1,28
13,51,no_noise,1,140
13,52,noise,4,179
13,53,no_noise,4,124
13,54,no_noise,4,170
13,55,no_noise,2,173
13,56,no_noise,2,65
13,57,no_noise,1,115
13,58,no_noise,1,4
13,59,no_noise,2,157
13,60,noise,2,49
13,61,no_noise,1,72
13,62,no_noise,2,36
13,63,no_noise,1,167
13,64,noise,2,21
13,65,noise,2,106
13,66,noise,1,154
13,67,noise,1,91
13,68,noise,1,104
13,69,no_noise,2,46
13,70,noise,4,80
13,71,no_noise,4,163
13,72,no_noise,1,22
13,73,no_noise,2,139
13,74,no_noise,1,101
13,75,no_noise,2,16
13,76,noise,4,164
13,77,noise,1,43
13,78,noise,1,79
13,79,no_noise,1,84
13,80,noise,2,32
13,81,noise,2,14
13,82,no_noise,2,150
13,83,noise,2,55
13,84,no_noise,1,134
13,85,no_noise,1,130
13,86,noise,1,20
13,87,no_noise,1,159
13,88,noise,2,180
13,89,noise,1,25
13,90,noise,2,12
13,91,no_noise,1,81
13,92,noise,1,141
13,93,noise,4,56
13,94,no_noise,1,29
13,95,noise,4,98
13,96,no_noise,1,97
13,97,no_noise,1,62
13,98,noise,1,6
13,99,noise,2,68
13,100,no_noise,1,113
13,101,noise,1,15
13,102,no_noise,2,33
13,103,noise,1,1
13,104,no_noise,2,143
13,105,noise,2,51
13,106,no_noise,2,100
13,107,no_noise,4,47
13,108,no_noise,4,138
13,109,noise,4,125
13,110,no_noise,4,135
13,111,no_noise,2,178
13,112,noise,1,64
13,113,noise,1,144
13,114,noise,4,17
13,115,noise,2,44
13,116,no_noise,2,7
13,117,noise,2,27
13,118,no_noise,1,126
13,119,no_noise,2,111
13,120,no_noise,4,171
13,121,noise,2,102
13,122,no_noise,2,13
13,123,noise,2,5
13,124,noise,1,40
13,125,no_noise,1,60
13,126,noise,1,75
13,127,noise,4,2
13,128,noise,2,85
13,129,no_noise,2,54
13,130,no_noise,4,156
13,131,noise,4,39
13,132,noise,1,132
13,133,no_noise,4,177
13,134,no_noise,1,70
13,135,no_noise,4,88
13,136,no_noise,4,34
13,137,no_noise,4,105
13,138,no_noise,2,110
13,139,noise,2,90
13,140,no_noise,2,109
13,141,noise,1,137
13,142,no_noise,4,48
13,143,no_noise,4,147
13,144,no_noise,4,10
13,145,no_noise,2,153
13,146,no_noise,2,83
13,147,noise,1,31
13,148,noise,2,118
13,149,noise,4,52
13,150,noise,2,58
13,151,noise,2,122
13,152,noise,4,41
13,153,noise,1,127
13,154,noise,2,63
13,155,noise,4,18
13,156,noise,4,45
13,157,no_noise,2,165
13,158,no_noise,2,96
13,159,noise,2,67
13,160,no_noise,4,99
13,161,noise,4,77
13,162,noise,2,176
13,163,noise,2,131
13,164,noise,1,149
13,165,no_noise,1,142
13,166,no_noise,1,174
13,167,noise,2,94
13,168,noise,4,8
13,169,no_noise,2,19
13,170,no_noise,1,93
13,171,noise,4,168
13,172,no_noise,2,78
13,173,noise,2,69
13,174,no_noise,4,73
13,175,noise,4,152
13,176,no_noise,4,82
13,177,noise,4,76
13,178,no_noise,4,175
13,179,noise,1,155
13,180,noise,2,35
