prot_id,trial_id,noise,no_targets,trajectory_id,cage_indicated
25,1,noise,2,78,2
25,2,noise,1,17,2
25,3,no_noise,2,155,2
25,4,no_noise,2,103,2
25,5,noise,4,178,4
25,6,no_noise,1,79,3
25,7,noise,4,136,4
25,8,no_noise,4,117,4
25,9,noise,1,99,4
25,10,no_noise,2,29,4
25,11,noise,1,109,1
25,12,no_noise,2,165,2
25,13,no_noise,4,101,4
25,14,noise,1,12,1
25,15,noise,1,42,3
25,16,noise,2,118,3
25,17,no_noise,4,130,1
25,18,noise,4,150,4
25,19,noise,4,3,4
25,20,noise,1,85,4
25,21,noise,2,142,4
25,22,noise,4,28,4
25,23,no_noise,2,21,2
25,24,noise,2,158,1
25,25,noise,2,68,3
25,26,no_noise,4,145,1
25,27,no_noise,4,45,4
25,28,noise,2,133,3
25,29,no_noise,1,173,3
25,30,no_noise,2,53,4
25,31,noise,1,167,3
25,32,no_noise,4,180,1
25,33,no_noise,1,163,2
25,34,noise,2,26,2
25,35,noise,1,38,3
25,36,noise,4,149,2
25,37,no_noise,1,8,1
25,38,noise,1,97,2
25,39,no_noise,4,59,3
25,40,no_noise,4,176,1
25,41,no_noise,1,73,2
25,42,no_noise,1,169,2
25,43,no_noise,2,40,2
25,44,no_noise,4,132,4
25,45,no_noise,2,52,4
25,46,no_noise,4,148,1
25,47,noise,1,46,3
25,48,no_noise,2,35,4
25,49,no_noise,1,172,2
25,50,noise,2,140,3
25,51,noise,2,159,1
25,52,noise,1,36,4
25,53,noise,2,32,2
25,54,noise,4,179,3
25,55,noise,1,66,2
25,56,noise,1,13,3
25,57,noise,2,160,1
25,58,no_noise,1,174,4
25,59,no_noise,4,177,4
25,60,no_noise,1,138,1
25,61,noise,4,72,2
25,62,noise,1,69,2
25,63,no_noise,4,106,4
25,64,noise,1,43,3
25,65,no_noise,2,110,4
25,66,noise,4,123,4
25,67,noise,2,147,3
25,68,noise,2,162,1
25,69,noise,1,82,3
25,70,no_noise,1,49,1
25,71,noise,2,15,2
25,72,noise,2,121,1
25,73,no_noise,2,63,4
25,74,noise,1,20,1
25,75,noise,2,37,2
25,76,noise,2,80,2
25,77,noise,2,91,1
25,78,no_noise,4,57,4
25,79,no_noise,2,33,3
25,80,noise,2,139,3
25,81,no_noise,1,25,1
25,82,noise,1,56,1
25,83,noise,2,65,2
25,84,noise,4,9,3
25,85,noise,1,100,3
25,86,noise,2,102,1
25,87,noise,4,161,1
25,88,no_noise,2,47,3
25,89,no_noise,1,84,1
25,90,noise,1,96,1
25,91,no_noise,4,128,1
25,92,no_noise,2,70,4
25,93,no_noise,4,111,3
25,94,no_noise,4,24,1
25,95,noise,1,116,2
25,96,no_noise,4,88,1
25,97,noise,1,113,1
25,98,noise,1,144,3
25,99,noise,4,104,2
25,100,no_noise,1,87,3
25,101,no_noise,1,89,3
25,102,no_noise,2,11,2
25,103,no_noise,1,18,1
25,104,noise,2,55,4
25,105,noise,4,41,3
25,106,noise,4,83,2
25,107,no_noise,2,98,4
25,108,noise,4,14,1
25,109,no_noise,2,137,2
25,110,noise,2,153,4
25,111,noise,2,48,4
25,112,noise,4,94,3
25,113,noise,1,107,3
25,114,no_noise,4,1,3
25,115,noise,1,58,4
25,116,no_noise,1,27,3
25,117,noise,1,152,3
25,118,no_noise,1,7,1
25,119,noise,4,122,3
25,120,no_noise,2,81,3
25,121,no_noise,4,124,4
25,122,no_noise,4,129,4
25,123,no_noise,4,64,1
25,124,no_noise,1,166,1
25,125,no_noise,1,51,4
25,126,no_noise,4,62,2
25,127,noise,4,23,1
25,128,no_noise,1,76,2
25,129,noise,4,125,3
25,130,no_noise,2,10,4
25,131,noise,2,168,4
25,132,noise,1,156,1
25,133,no_noise,4,127,1
25,134,no_noise,1,34,2
25,135,no_noise,2,151,2
25,136,noise,4,22,3
25,137,no_noise,1,141,4
25,138,no_noise,2,71,2
25,139,noise,4,134,2
25,140,noise,4,175,1
25,141,no_noise,1,54,4
25,142,no_noise,2,164,3
25,143,noise,4,2,1
25,144,noise,4,74,2
25,145,no_noise,1,131,3
25,146,noise,4,114,1
25,147,noise,1,93,1
25,148,no_noise,4,95,4
25,149,no_noise,2,143,3
25,150,no_noise,4,31,4
25,151,no_noise,1,6,3
25,152,no_noise,4,120,1
25,153,no_noise,1,67,3
25,154,no_noise,4,50,4
25,155,noise,2,154,2
25,156,no_noise,4,105,2
25,157,no_noise,4,19,4
25,158,no_noise,1,135,1
25,159,noise,4,5,3
25,160,noise,1,4,3
25,161,no_noise,2,108,4
25,162,no_noise,2,146,2
25,163,no_noise,1,86,1
25,164,no_noise,2,39,2
25,165,noise,4,119,4
25,166,noise,2,60,3
25,167,noise,4,126,4
25,168,noise,1,30,2
25,169,no_noise,1,92,1
25,170,noise,4,90,2
25,171,no_noise,2,16,3
25,172,noise,2,157,3
25,173,no_noise,2,44,2
25,174,noise,4,77,4
25,175,no_noise,1,75,2
25,176,no_noise,4,115,2
25,177,noise,2,170,1
25,178,no_noise,2,61,1
25,179,noise,2,171,2
25,180,no_noise,2,112,2
