prot_id,prot_subset,trial_id,noise_present,line_orientation,no_targets,trajectory_id
1,5,401,no_noise,horizontal,1,726
1,5,402,no_noise,horizontal,1,790
1,5,403,noise,vertical,2,399
1,5,404,noise,horizontal,2,667
1,5,405,no_noise,vertical,2,12
1,5,406,noise,vertical,1,265
1,5,407,noise,horizontal,1,549
1,5,408,no_noise,vertical,1,310
1,5,409,noise,horizontal,1,885
1,5,410,noise,horizontal,1,901
1,5,411,no_noise,vertical,1,286
1,5,412,noise,horizontal,2,691
1,5,413,noise,vertical,2,271
1,5,414,no_noise,vertical,1,266
1,5,415,noise,horizontal,2,631
1,5,416,noise,vertical,2,223
1,5,417,no_noise,vertical,2,356
1,5,418,noise,vertical,2,123
1,5,419,no_noise,vertical,2,456
1,5,420,noise,horizontal,2,587
1,5,421,no_noise,vertical,2,40
1,5,422,noise,horizontal,2,739
1,5,423,no_noise,horizontal,1,982
1,5,424,no_noise,vertical,2,244
1,5,425,no_noise,vertical,2,308
1,5,426,no_noise,horizontal,1,846
1,5,427,no_noise,horizontal,2,708
1,5,428,noise,vertical,1,109
1,5,429,no_noise,vertical,2,392
1,5,430,no_noise,horizontal,1,954
1,5,431,no_noise,vertical,2,184
1,5,432,no_noise,horizontal,1,926
1,5,433,noise,horizontal,1,981
1,5,434,noise,vertical,1,245
1,5,435,noise,horizontal,2,823
1,5,436,noise,horizontal,2,567
1,5,437,noise,vertical,1,41
1,5,438,noise,vertical,2,307
1,5,439,noise,vertical,2,23
1,5,440,no_noise,vertical,1,382
1,5,441,noise,horizontal,1,557
1,5,442,no_noise,vertical,2,248
1,5,443,noise,horizontal,2,619
1,5,444,no_noise,vertical,2,192
1,5,445,no_noise,horizontal,2,628
1,5,446,noise,vertical,1,397
1,5,447,noise,vertical,2,143
1,5,448,noise,vertical,2,303
1,5,449,noise,vertical,2,375
1,5,450,noise,vertical,1,193
1,5,451,noise,vertical,2,315
1,5,452,noise,horizontal,2,559
1,5,453,no_noise,vertical,1,422
1,5,454,no_noise,vertical,1,386
1,5,455,no_noise,vertical,1,42
1,5,456,noise,horizontal,1,833
1,5,457,noise,vertical,2,323
1,5,458,no_noise,horizontal,2,1008
1,5,459,no_noise,vertical,2,124
1,5,460,noise,horizontal,1,897
1,5,461,noise,horizontal,1,541
1,5,462,noise,vertical,1,445
1,5,463,noise,vertical,2,203
1,5,464,noise,vertical,2,503
1,5,465,no_noise,horizontal,1,974
1,5,466,noise,horizontal,2,623
1,5,467,noise,vertical,1,85
1,5,468,noise,horizontal,1,965
1,5,469,noise,horizontal,2,759
1,5,470,no_noise,horizontal,2,664
1,5,471,no_noise,vertical,1,10
1,5,472,no_noise,vertical,2,132
1,5,473,noise,vertical,1,53
1,5,474,no_noise,vertical,2,480
1,5,475,noise,vertical,2,243
1,5,476,no_noise,vertical,2,344
1,5,477,noise,vertical,1,197
1,5,478,noise,horizontal,1,841
1,5,479,noise,horizontal,2,571
1,5,480,noise,horizontal,2,659
1,5,481,no_noise,vertical,1,194
1,5,482,noise,vertical,2,195
1,5,483,no_noise,vertical,1,450
1,5,484,noise,horizontal,2,591
1,5,485,noise,vertical,2,63
1,5,486,noise,vertical,1,65
1,5,487,no_noise,horizontal,1,582
1,5,488,noise,horizontal,1,737
1,5,489,noise,horizontal,2,895
1,5,490,no_noise,horizontal,2,576
1,5,491,no_noise,horizontal,2,976
1,5,492,no_noise,horizontal,2,644
1,5,493,noise,horizontal,2,703
1,5,494,no_noise,vertical,2,92
1,5,495,no_noise,vertical,2,136
1,5,496,no_noise,vertical,1,442
1,5,497,noise,horizontal,2,891
1,5,498,no_noise,horizontal,2,804
1,5,499,noise,vertical,2,475
1,5,500,noise,vertical,2,255
