prot_id,prot_subset,trial_id,no_targets,line_orientation,trajectory_id,noise_present
3,1,1,2,vertical,8,no_noise
3,1,2,2,vertical,196,no_noise
3,1,3,1,horizontal,542,no_noise
3,1,4,2,horizontal,855,noise
3,1,5,1,horizontal,782,no_noise
3,1,6,2,horizontal,899,noise
3,1,7,1,vertical,61,noise
3,1,8,2,horizontal,587,noise
3,1,9,1,horizontal,733,noise
3,1,10,1,vertical,385,noise
3,1,11,1,horizontal,594,no_noise
3,1,12,1,horizontal,621,noise
3,1,13,1,vertical,221,noise
3,1,14,1,vertical,106,no_noise
3,1,15,2,vertical,96,no_noise
3,1,16,1,horizontal,841,noise
3,1,17,2,vertical,167,noise
3,1,18,2,horizontal,816,no_noise
3,1,19,1,vertical,6,no_noise
3,1,20,1,horizontal,694,no_noise
3,1,21,2,vertical,279,noise
3,1,22,1,horizontal,866,no_noise
3,1,23,1,vertical,293,noise
3,1,24,2,vertical,91,noise
3,1,25,2,horizontal,907,noise
3,1,26,1,horizontal,685,noise
3,1,27,2,horizontal,1007,noise
3,1,28,2,horizontal,736,no_noise
3,1,29,1,horizontal,837,noise
3,1,30,2,horizontal,835,noise
3,1,31,2,vertical,324,no_noise
3,1,32,2,vertical,228,no_noise
3,1,33,1,horizontal,789,noise
3,1,34,1,horizontal,593,noise
3,1,35,2,horizontal,776,no_noise
3,1,36,1,horizontal,793,noise
3,1,37,1,vertical,501,noise
3,1,38,1,vertical,373,noise
3,1,39,2,horizontal,871,noise
3,1,40,1,vertical,257,noise
3,1,41,1,horizontal,957,noise
3,1,42,2,horizontal,528,no_noise
3,1,43,2,horizontal,983,noise
3,1,44,2,horizontal,788,no_noise
3,1,45,2,vertical,344,no_noise
3,1,46,1,horizontal,781,noise
3,1,47,2,horizontal,512,no_noise
3,1,48,1,horizontal,577,noise
3,1,49,1,horizontal,826,no_noise
3,1,50,2,horizontal,752,no_noise
3,1,51,2,vertical,183,noise
3,1,52,2,horizontal,683,noise
3,1,53,1,vertical,137,noise
3,1,54,2,vertical,460,no_noise
3,1,55,2,vertical,112,no_noise
3,1,56,1,vertical,41,noise
3,1,57,2,horizontal,703,noise
3,1,58,1,horizontal,674,no_noise
3,1,59,2,horizontal,836,no_noise
3,1,60,1,vertical,477,noise
3,1,61,2,vertical,371,noise
3,1,62,2,vertical,188,no_noise
3,1,63,1,vertical,474,no_noise
3,1,64,2,horizontal,551,noise
3,1,65,1,vertical,378,no_noise
3,1,66,2,horizontal,828,no_noise
3,1,67,1,horizontal,913,noise
3,1,68,1,horizontal,785,noise
3,1,69,1,horizontal,701,noise
3,1,70,1,horizontal,973,noise
3,1,71,1,vertical,365,noise
3,1,72,1,vertical,366,no_noise
3,1,73,2,horizontal,928,no_noise
3,1,74,1,vertical,361,noise
3,1,75,2,vertical,323,noise
3,1,76,2,vertical,463,noise
3,1,77,2,horizontal,616,no_noise
3,1,78,1,horizontal,758,no_noise
3,1,79,2,vertical,159,noise
3,1,80,2,vertical,288,no_noise
3,1,81,1,horizontal,641,noise
3,1,82,2,vertical,227,noise
3,1,83,1,horizontal,790,no_noise
3,1,84,1,vertical,145,noise
3,1,85,2,horizontal,823,noise
3,1,86,1,horizontal,926,no_noise
3,1,87,2,vertical,235,noise
3,1,88,2,horizontal,927,noise
3,1,89,1,vertical,206,no_noise
3,1,90,1,vertical,353,noise
3,1,91,1,horizontal,529,noise
3,1,92,1,horizontal,725,noise
3,1,93,1,horizontal,598,no_noise
3,1,94,2,horizontal,824,no_noise
3,1,95,1,vertical,73,noise
3,1,96,1,horizontal,610,no_noise
3,1,97,1,vertical,209,noise
3,1,98,1,horizontal,854,no_noise
3,1,99,2,horizontal,955,noise
3,1,100,2,horizontal,591,noise
