prot_id,prot_subset,trial_id,noise_present,trajectory_id,line_orientation,no_targets
4,4,301,no_noise,232,vertical,2
4,4,302,noise,719,horizontal,2
4,4,303,noise,897,horizontal,1
4,4,304,no_noise,404,vertical,2
4,4,305,no_noise,646,horizontal,1
4,4,306,no_noise,384,vertical,2
4,4,307,noise,81,vertical,1
4,4,308,no_noise,922,horizontal,1
4,4,309,noise,523,horizontal,2
4,4,310,noise,475,vertical,2
4,4,311,no_noise,532,horizontal,2
4,4,312,no_noise,348,vertical,2
4,4,313,noise,829,horizontal,1
4,4,314,noise,233,vertical,1
4,4,315,no_noise,722,horizontal,1
4,4,316,noise,695,horizontal,2
4,4,317,noise,689,horizontal,1
4,4,318,noise,947,horizontal,2
4,4,319,noise,533,horizontal,1
4,4,320,noise,577,horizontal,1
4,4,321,noise,621,horizontal,1
4,4,322,noise,261,vertical,1
4,4,323,no_noise,248,vertical,2
4,4,324,noise,291,vertical,2
4,4,325,no_noise,422,vertical,1
4,4,326,no_noise,46,vertical,1
4,4,327,no_noise,704,horizontal,2
4,4,328,noise,265,vertical,1
4,4,329,noise,651,horizontal,2
4,4,330,noise,113,vertical,1
4,4,331,no_noise,266,vertical,1
4,4,332,noise,197,vertical,1
4,4,333,no_noise,78,vertical,1
4,4,334,noise,187,vertical,2
4,4,335,noise,673,horizontal,1
4,4,336,no_noise,710,horizontal,1
4,4,337,no_noise,540,horizontal,2
4,4,338,no_noise,470,vertical,1
4,4,339,noise,147,vertical,2
4,4,340,no_noise,478,vertical,1
4,4,341,noise,559,horizontal,2
4,4,342,noise,847,horizontal,2
4,4,343,no_noise,836,horizontal,2
4,4,344,noise,425,vertical,1
4,4,345,noise,307,vertical,2
4,4,346,noise,215,vertical,2
4,4,347,noise,267,vertical,2
4,4,348,no_noise,224,vertical,2
4,4,349,noise,811,horizontal,2
4,4,350,noise,9,vertical,1
4,4,351,no_noise,156,vertical,2
4,4,352,noise,119,vertical,2
4,4,353,noise,553,horizontal,1
4,4,354,no_noise,120,vertical,2
4,4,355,noise,803,horizontal,2
4,4,356,no_noise,770,horizontal,1
4,4,357,noise,879,horizontal,2
4,4,358,noise,397,vertical,1
4,4,359,no_noise,948,horizontal,2
4,4,360,no_noise,1006,horizontal,1
4,4,361,no_noise,56,vertical,2
4,4,362,noise,779,horizontal,2
4,4,363,noise,521,horizontal,1
4,4,364,noise,679,horizontal,2
4,4,365,no_noise,890,horizontal,1
4,4,366,no_noise,556,horizontal,2
4,4,367,no_noise,742,horizontal,1
4,4,368,no_noise,64,vertical,2
4,4,369,no_noise,428,vertical,2
4,4,370,noise,701,horizontal,1
4,4,371,no_noise,634,horizontal,1
4,4,372,noise,431,vertical,2
4,4,373,noise,149,vertical,1
4,4,374,no_noise,764,horizontal,2
4,4,375,no_noise,268,vertical,2
4,4,376,noise,201,vertical,1
4,4,377,noise,615,horizontal,2
4,4,378,noise,243,vertical,2
4,4,379,noise,411,vertical,2
4,4,380,no_noise,454,vertical,1
4,4,381,noise,535,horizontal,2
4,4,382,noise,301,vertical,1
4,4,383,noise,363,vertical,2
4,4,384,noise,333,vertical,1
4,4,385,noise,463,vertical,2
4,4,386,no_noise,238,vertical,1
4,4,387,noise,115,vertical,2
4,4,388,no_noise,160,vertical,2
4,4,389,noise,863,horizontal,2
4,4,390,noise,783,horizontal,2
4,4,391,noise,891,horizontal,2
4,4,392,no_noise,210,vertical,1
4,4,393,noise,49,vertical,1
4,4,394,noise,667,horizontal,2
4,4,395,no_noise,294,vertical,1
4,4,396,noise,29,vertical,1
4,4,397,noise,207,vertical,2
4,4,398,no_noise,424,vertical,2
4,4,399,noise,395,vertical,2
4,4,400,no_noise,672,horizontal,2
