prot_id,prot_subset,trial_id,line_orientation,no_targets,noise_present,trajectory_id
5,5,401,vertical,1,no_noise,486
5,5,402,vertical,1,no_noise,454
5,5,403,horizontal,2,noise,863
5,5,404,horizontal,2,no_noise,956
5,5,405,horizontal,1,noise,881
5,5,406,vertical,2,no_noise,204
5,5,407,horizontal,2,no_noise,968
5,5,408,vertical,2,no_noise,484
5,5,409,horizontal,1,no_noise,922
5,5,410,horizontal,2,noise,815
5,5,411,vertical,2,no_noise,212
5,5,412,horizontal,2,no_noise,668
5,5,413,horizontal,2,no_noise,928
5,5,414,vertical,2,no_noise,120
5,5,415,horizontal,2,no_noise,772
5,5,416,vertical,2,noise,247
5,5,417,vertical,2,no_noise,216
5,5,418,vertical,1,no_noise,282
5,5,419,vertical,2,no_noise,456
5,5,420,horizontal,2,noise,795
5,5,421,horizontal,2,no_noise,848
5,5,422,horizontal,1,noise,869
5,5,423,horizontal,2,no_noise,840
5,5,424,horizontal,2,noise,775
5,5,425,vertical,1,no_noise,478
5,5,426,vertical,1,noise,281
5,5,427,horizontal,1,no_noise,546
5,5,428,vertical,1,no_noise,58
5,5,429,vertical,1,no_noise,134
5,5,430,horizontal,1,no_noise,998
5,5,431,vertical,1,no_noise,466
5,5,432,horizontal,1,no_noise,962
5,5,433,horizontal,1,noise,689
5,5,434,vertical,2,no_noise,488
5,5,435,horizontal,2,noise,571
5,5,436,vertical,2,noise,239
5,5,437,vertical,1,noise,241
5,5,438,vertical,1,noise,289
5,5,439,horizontal,2,noise,867
5,5,440,horizontal,2,no_noise,544
5,5,441,vertical,1,no_noise,242
5,5,442,horizontal,2,noise,671
5,5,443,vertical,1,noise,9
5,5,444,horizontal,2,noise,759
5,5,445,horizontal,2,noise,655
5,5,446,vertical,2,no_noise,156
5,5,447,horizontal,1,no_noise,722
5,5,448,vertical,1,no_noise,362
5,5,449,vertical,2,noise,155
5,5,450,horizontal,1,noise,953
5,5,451,vertical,1,no_noise,430
5,5,452,vertical,1,noise,173
5,5,453,horizontal,2,no_noise,824
5,5,454,horizontal,2,noise,603
5,5,455,vertical,2,noise,183
5,5,456,vertical,1,no_noise,202
5,5,457,horizontal,1,noise,917
5,5,458,horizontal,2,no_noise,856
5,5,459,vertical,2,no_noise,224
5,5,460,vertical,1,no_noise,386
5,5,461,vertical,2,no_noise,244
5,5,462,vertical,1,no_noise,234
5,5,463,horizontal,1,no_noise,586
5,5,464,horizontal,2,no_noise,792
5,5,465,horizontal,2,noise,1007
5,5,466,vertical,2,noise,467
5,5,467,horizontal,2,noise,623
5,5,468,horizontal,2,no_noise,804
5,5,469,horizontal,1,noise,961
5,5,470,vertical,2,noise,279
5,5,471,vertical,2,noise,347
5,5,472,horizontal,1,noise,581
5,5,473,horizontal,1,no_noise,678
5,5,474,horizontal,1,noise,657
5,5,475,horizontal,1,noise,669
5,5,476,horizontal,1,noise,857
5,5,477,horizontal,1,noise,745
5,5,478,vertical,1,no_noise,146
5,5,479,vertical,2,no_noise,336
5,5,480,vertical,1,no_noise,406
5,5,481,vertical,1,no_noise,310
5,5,482,vertical,1,noise,261
5,5,483,horizontal,2,noise,851
5,5,484,vertical,2,noise,67
5,5,485,vertical,1,noise,293
5,5,486,horizontal,1,noise,817
5,5,487,horizontal,1,no_noise,682
5,5,488,vertical,2,noise,503
5,5,489,horizontal,2,no_noise,900
5,5,490,vertical,1,noise,105
5,5,491,horizontal,1,no_noise,886
5,5,492,horizontal,1,no_noise,518
5,5,493,horizontal,1,noise,845
5,5,494,horizontal,1,no_noise,942
5,5,495,vertical,1,noise,217
5,5,496,horizontal,1,noise,1001
5,5,497,vertical,2,no_noise,64
5,5,498,vertical,2,no_noise,396
5,5,499,vertical,2,noise,415
5,5,500,horizontal,2,noise,939
