prot_id,prot_subset,trial_id,line_orientation,trajectory_id,no_targets,noise_present
9,6,501,vertical,102,1,no_noise
9,6,502,vertical,270,1,no_noise
9,6,503,vertical,452,2,no_noise
9,6,504,vertical,67,2,noise
9,6,505,horizontal,859,2,noise
9,6,506,horizontal,661,1,noise
9,6,507,horizontal,711,2,noise
9,6,508,vertical,435,2,noise
9,6,509,vertical,20,2,no_noise
9,6,510,vertical,432,2,no_noise
9,6,511,vertical,429,1,noise
9,6,512,horizontal,639,2,noise
9,6,513,horizontal,531,2,noise
9,6,514,horizontal,760,2,no_noise
9,6,515,horizontal,948,2,no_noise
9,6,516,horizontal,594,1,no_noise
9,6,517,vertical,349,1,noise
9,6,518,horizontal,991,2,noise
9,6,519,horizontal,511,2,noise
9,6,520,horizontal,656,2,no_noise
9,6,521,vertical,148,2,no_noise
9,6,522,vertical,63,2,noise
9,6,523,vertical,244,2,no_noise
9,6,524,horizontal,899,2,noise
9,6,525,vertical,187,2,noise
9,6,526,vertical,11,2,noise
9,6,527,horizontal,963,2,noise
9,6,528,vertical,395,2,noise
9,6,529,vertical,222,1,no_noise
9,6,530,vertical,74,1,no_noise
9,6,531,horizontal,977,1,noise
9,6,532,horizontal,562,1,no_noise
9,6,533,horizontal,916,2,no_noise
9,6,534,horizontal,653,1,noise
9,6,535,vertical,129,1,noise
9,6,536,horizontal,625,1,noise
9,6,537,vertical,283,2,noise
9,6,538,horizontal,525,1,noise
9,6,539,horizontal,834,1,no_noise
9,6,540,horizontal,777,1,noise
9,6,541,vertical,125,1,noise
9,6,542,vertical,369,1,noise
9,6,543,vertical,158,1,no_noise
9,6,544,horizontal,576,2,no_noise
9,6,545,vertical,23,2,noise
9,6,546,vertical,336,2,no_noise
9,6,547,vertical,186,1,no_noise
9,6,548,vertical,415,2,noise
9,6,549,horizontal,726,1,no_noise
9,6,550,horizontal,874,1,no_noise
9,6,551,vertical,294,1,no_noise
9,6,552,horizontal,634,1,no_noise
9,6,553,vertical,246,1,no_noise
9,6,554,vertical,445,1,noise
9,6,555,vertical,389,1,noise
9,6,556,horizontal,1001,1,noise
9,6,557,vertical,141,1,noise
9,6,558,vertical,259,2,noise
9,6,559,horizontal,696,2,no_noise
9,6,560,vertical,265,1,noise
9,6,561,vertical,237,1,noise
9,6,562,horizontal,645,1,noise
9,6,563,vertical,156,2,no_noise
9,6,564,horizontal,646,1,no_noise
9,6,565,horizontal,997,1,noise
9,6,566,horizontal,569,1,noise
9,6,567,horizontal,960,2,no_noise
9,6,568,horizontal,657,1,noise
9,6,569,horizontal,811,2,noise
9,6,570,vertical,160,2,no_noise
9,6,571,vertical,207,2,noise
9,6,572,horizontal,1003,2,noise
9,6,573,vertical,226,1,no_noise
9,6,574,vertical,48,2,no_noise
9,6,575,vertical,307,2,noise
9,6,576,vertical,45,1,noise
9,6,577,vertical,14,1,no_noise
9,6,578,horizontal,519,2,noise
9,6,579,vertical,335,2,noise
9,6,580,horizontal,891,2,noise
9,6,581,horizontal,782,1,no_noise
9,6,582,horizontal,978,1,no_noise
9,6,583,horizontal,929,1,noise
9,6,584,horizontal,619,2,noise
9,6,585,vertical,217,1,noise
9,6,586,horizontal,847,2,noise
9,6,587,horizontal,640,2,no_noise
9,6,588,vertical,128,2,no_noise
9,6,589,horizontal,624,2,no_noise
9,6,590,vertical,225,1,noise
9,6,591,vertical,195,2,noise
9,6,592,horizontal,944,2,no_noise
9,6,593,horizontal,723,2,noise
9,6,594,vertical,42,1,no_noise
9,6,595,horizontal,964,2,no_noise
9,6,596,vertical,24,2,no_noise
9,6,597,vertical,193,1,noise
9,6,598,horizontal,679,2,noise
9,6,599,vertical,278,1,no_noise
9,6,600,vertical,276,2,no_noise
